etf,B,A,A_changes,A_wo_Gold,A_wo_Oil_WTI,A_wo_US10Y_yield,A_wo_USD_index,A_wo_VIX_volatility
XLB,0.0465,0.0465,0.0126,0.046,0.0269,0.0413,0.0464,0.0268
XLC,0.4047,0.3322,0.3472,0.338,0.3361,0.3757,0.3622,0.3391
XLE,0.0666,0.0184,0.0593,0.0202,0.0192,0.0166,0.0251,0.0454
XLF,0.1416,0.0677,0.1183,0.0699,0.0828,0.0661,0.0484,0.0573
XLI,0.0648,0.0267,0.0492,0.0284,0.0238,0.0269,0.0233,0.0401
XLK,0.1042,0.1221,0.1057,0.1121,0.112,0.133,0.118,0.0703
XLP,0.0262,0.11,0.0044,0.1169,0.1283,0.1039,0.1113,0.1042
XLRE,0.0292,0.0179,0.048,0.0358,0.02,0.0095,0.0293,0.0486
XLU,0.0967,0.1278,0.2363,0.1058,0.1487,0.1186,0.1176,0.123
XLV,0.0017,0.1207,0.0,0.1241,0.0956,0.1015,0.1091,0.1326
XLY,0.0177,0.01,0.0189,0.0029,0.0068,0.0069,0.0096,0.0125
