arm,strategy,total_return_pct,ann_sharpe,max_drawdown_pct,avg_turnover,months
A_changes,EW,72.0,1.417,-7.79,0.0,43
A_multi,EW,72.0,1.417,-7.79,0.0,43
A_wo_Gold,EW,72.0,1.417,-7.79,0.0,43
A_wo_Oil_WTI,EW,72.0,1.417,-7.79,0.0,43
A_wo_US10Y_yield,EW,72.0,1.417,-7.79,0.0,43
A_wo_USD_index,EW,72.0,1.417,-7.79,0.0,43
A_wo_VIX_volatility,EW,72.0,1.417,-7.79,0.0,43
B_multi,EW,72.0,1.417,-7.79,0.0,43
A_changes,MV,72.21,1.104,-8.83,1.045,43
A_multi,MV,48.28,0.951,-9.1,1.5,43
A_wo_Gold,MV,48.66,0.866,-10.95,1.422,43
A_wo_Oil_WTI,MV,42.61,0.795,-11.42,1.431,43
A_wo_US10Y_yield,MV,93.32,1.354,-7.19,1.348,43
A_wo_USD_index,MV,79.17,1.244,-8.22,1.439,43
A_wo_VIX_volatility,MV,64.1,1.115,-9.71,1.279,43
B_multi,MV,73.07,1.361,-9.06,1.337,43
